alim_code,name_fr,name_en,group_code,subgroup_code,subsubgroup_code,energy_kcal,energy_kj,protein_g,carbs_g,sugars_g,fat_g,saturated_fat_g,fibre_g,salt_g,water_g
12311,Crème de camembert,"Camembert cream (processed cheese), from cow's milk",05,0503,050304,-,-,11,4,4,23,16,0,"2,3",57
12325,Cancoillotte (spécialité fromagère fondue),"Cancoillotte (processed cheese), from cow's milk",05,0503,050304,151,629,"13,6","0,48",traces,"10,5","7,06",0,"1,73","72,5"
12342,"Fromage frais ou spécialité fromagère non affinée, ail et fines herbes, à tartiner, allégée en matière grasse","Uncured soft cheese, spreadable, reduced fat, from cow's milk, flavoured (ex : garlic and herbs)",05,0503,050305,-,-,3,"4,5",4,13,"8,5",0,"1,2","68,7"
12355,Spécialité fromagère fondante au fromage blanc et aux noix,"Processed cheese with fresh cream cheese and walnuts, from cow's milk",05,0503,050304,311,1280,11,"2,5","1,5","28,5",13,"< 0,5","1,7","50,8"
12356,Snack pour enfants à base de fromage fondu et de gressins,"Processed cheese snack , from cow's milk, with breadsticks, for children",05,0503,050304,298,1240,"9,63",24,"4,88","17,9","10,1",1,"1,63","42,6"
12500,Roquefort (fromage de brebis),"Roquefort cheese, from ewe's milk",05,0503,050302,384,1590,"19,1",traces,traces,"33,9","24,9",0,"3,22","41,9"
12519,Fourme de Montbrison,"Fourme de Montbrison cheese, from cow's milk,",05,0503,050302,365,1510,"22,1",0,traces,"30,8","20,5",0,"1,63","42,8"
12520,"Fromage bleu au lait de vache, non allégé en matière grasse","Blue cheese, from cow's milk",05,0503,050302,361,1500,"16,5","0,68","0,18","32,5","22,5","0,063","1,87","48,1"
12521,Fromage bleu d'Auvergne,"Auvergne blue cheese, from cow's milk",05,0503,050302,342,1420,"20,2",traces,0,29,"20,2","0,0001","2,68","44,1"
12522,Fourme d'Ambert,"Fourme d'Ambert cheese, from cow's milk",05,0503,050302,339,1400,"20,2",traces,traces,"28,4","16,3",0,"2,2","46,6"
12523,Fromage bleu des Causses,"Causses blue cheese, from cow's milk",05,0503,050302,350,1450,20,traces,0,30,"21,2",0,"3,4","45,2"
